20,31,2,17,0,0,Bronx
10,54,6,38,0,4,Bronx
2,64,7,36,0,1,Bronx
24,52,8,28,12,1,Bronx
29,28,3,19,0,0,Bronx
16,45,3,34,0,1,Bronx
17,39,5,36,0,3,Bronx
27,36,3,28,0,1,Bronx
23,33,3,40,0,3,Bronx
8,47,6,39,16,1,Bronx
26,49,5,39,0,3,Bronx
29,35,2,16,0,0,Bronx
13,45,5,27,0,0,Bronx
6,58,5,26,0,0,Bronx
21,57,6,40,0,3,Bronx
27,40,6,25,9,0,Bronx
32,30,2,14,0,1,Bronx
24,27,3,42,0,1,Bronx
30,34,3,21,0,0,Bronx
33,29,2,18,0,1,Bronx
26,31,2,30,0,1,Bronx
12,54,11,61,21,4,Bronx
7,72,14,50,0,6,Bronx
21,77,15,61,0,7,Bronx
31,35,5,31,0,0,Bronx
17,29,3,22,0,1,Bronx
20,33,3,25,0,1,Bronx
32,22,2,18,3,1,Bronx
31,29,2,23,0,1,Bronx
23,35,5,38,0,1,Bronx
11,42,7,43,0,1,Bronx
11,70,6,40,0,1,Bronx
21,57,3,28,0,0,Bronx
25,47,8,49,15,3,Bronx
19,59,9,46,0,3,Bronx
26,25,7,23,0,1,Bronx
22,32,3,22,0,0,Bronx
29,25,3,31,0,0,Bronx
30,39,3,32,0,1,Bronx
25,50,5,42,12,1,Bronx
19,43,5,32,0,1,Bronx
27,35,6,34,0,1,Bronx
30,45,3,28,0,1,Bronx
25,40,6,45,0,1,Bronx
30,26,3,15,0,1,Bronx
21,25,3,26,8,1,Bronx
18,52,7,46,0,3,Bronx
33,49,7,31,0,3,Bronx
28,51,3,32,0,1,Bronx
34,32,3,30,0,1,Bronx
31,20,2,17,0,1,Bronx
33,22,3,29,6,1,Bronx
31,44,5,42,0,3,Bronx
35,54,6,51,0,4,Bronx
29,69,11,60,0,6,Bronx
23,54,5,44,0,3,Bronx
36,33,3,30,0,0,Bronx
33,16,2,21,5,0,Bronx
31,33,3,22,0,1,Bronx
32,26,3,16,0,0,Bronx
36,31,3,42,0,1,Bronx
31,55,5,48,0,1,Bronx
26,54,5,35,0,1,Bronx
34,29,3,21,6,0,Bronx
32,28,2,26,0,1,Bronx
29,35,3,39,0,0,Bronx
37,20,2,17,0,1,Bronx
33,26,3,23,0,1,Bronx
35,45,6,41,0,3,Bronx
29,45,5,35,0,1,Bronx
30,25,3,42,0,1,Bronx
28,43,6,56,0,1,Bronx
38,29,3,36,0,0,Bronx
35,19,2,13,0,0,Bronx
37,18,2,20,0,1,Bronx
34,23,2,21,0,0,Bronx
28,33,3,34,0,0,Bronx
33,36,2,25,0,3,Bronx
33,24,3,30,0,0,Bronx
34,52,6,37,0,1,Bronx
38,17,2,10,0,0,Bronx
38,25,2,15,0,0,Bronx
33,20,3,17,0,1,Bronx
36,15,2,23,0,1,Bronx
33,28,2,14,0,0,Bronx
32,36,3,36,0,1,Bronx
43,28,3,45,0,1,Bronx
41,23,3,16,0,0,Bronx
40,13,2,9,0,0,Bronx
30,35,3,27,0,0,Bronx
