Date,CO AQI Value,NO2 AQI Value,Ozone AQI Value,SO2 AQI Value,Target
6/6/2020,3,26,51,0,Bronx
6/7/2020,2,10,35,0,Bronx
6/8/2020,2,32,32,0,Bronx
6/9/2020,2,25,108,1,Bronx
6/10/2020,2,16,50,0,Bronx
6/11/2020,3,29,27,0,Bronx
6/12/2020,3,16,48,0,Bronx
6/13/2020,2,5,37,0,Bronx
6/14/2020,1,11,37,0,Bronx
6/15/2020,3,17,38,3,Bronx
6/16/2020,2,19,37,3,Bronx
6/17/2020,1,16,31,0,Bronx
6/18/2020,2,15,20,0,Bronx
6/19/2020,2,24,38,0,Bronx
6/20/2020,3,27,47,0,Bronx
6/21/2020,3,23,43,0,Bronx
6/22/2020,2,24,80,0,Bronx
6/23/2020,2,29,51,0,Bronx
6/24/2020,2,18,44,0,Bronx
6/25/2020,2,19,80,0,Bronx
6/26/2020,2,27,54,1,Bronx
6/27/2020,3,30,44,1,Bronx
6/28/2020,5,22,67,1,Bronx
6/29/2020,3,15,35,0,Bronx
6/30/2020,2,16,35,0,Bronx
7/1/2020,3,25,45,0,Bronx
7/2/2020,2,31,38,0,Bronx
7/3/2020,3,13,43,0,Bronx
7/4/2020,2,10,39,1,Bronx
7/5/2020,3,36,47,0,Bronx
7/6/2020,6,38,71,1,Bronx
7/7/2020,3,16,34,0,Bronx
7/8/2020,2,20,33,0,Bronx
7/9/2020,2,22,36,1,Bronx
7/10/2020,2,8,19,0,Bronx
7/11/2020,3,22,34,0,Bronx
7/12/2020,3,10,38,0,Bronx
7/13/2020,2,13,43,0,Bronx
7/14/2020,2,10,30,0,Bronx
7/15/2020,2,14,40,0,Bronx
7/16/2020,1,10,28,0,Bronx
7/17/2020,2,15,44,0,Bronx
7/18/2020,3,23,77,0,Bronx
7/19/2020,5,18,100,1,Bronx
7/20/2020,3,17,58,0,Bronx
7/21/2020,2,20,74,0,Bronx
7/22/2020,3,31,97,0,Bronx
7/23/2020,3,20,54,0,Bronx
7/24/2020,3,24,35,0,Bronx
7/25/2020,5,28,87,0,Bronx
7/26/2020,3,17,51,0,Bronx
7/27/2020,2,19,80,1,Bronx
7/28/2020,2,17,47,1,Bronx
7/29/2020,3,28,64,1,Bronx
7/30/2020,3,25,97,4,Bronx
7/31/2020,3,31,44,0,Bronx
8/1/2020,8,47,58,0,Bronx
8/2/2020,2,12,39,0,Bronx
8/3/2020,2,26,49,0,Bronx
8/4/2020,2,19,27,0,Bronx
8/5/2020,3,21,54,0,Bronx
8/6/2020,7,32,80,1,Bronx
8/7/2020,7,33,54,0,Bronx
8/8/2020,6,14,44,0,Bronx
8/9/2020,3,20,64,0,Bronx
8/10/2020,3,25,100,0,Bronx
8/11/2020,3,23,44,0,Bronx
8/12/2020,7,42,71,0,Bronx
8/13/2020,7,33,37,1,Bronx
8/14/2020,5,14,44,0,Bronx
8/15/2020,3,9,33,0,Bronx
8/16/2020,2,6,21,0,Bronx
8/17/2020,2,31,42,0,Bronx
8/18/2020,3,30,39,1,Bronx
8/19/2020,5,42,26,0,Bronx
8/20/2020,5,22,43,0,Bronx
8/21/2020,3,20,58,0,Bronx
8/22/2020,3,16,47,0,Bronx
8/23/2020,3,19,41,1,Bronx
8/24/2020,3,20,58,0,Bronx
8/25/2020,2,18,49,0,Bronx
8/26/2020,2,10,28,0,Bronx
8/27/2020,3,26,49,0,Bronx
8/28/2020,3,25,42,0,Bronx
8/29/2020,3,18,27,0,Bronx
8/30/2020,2,11,27,0,Bronx
8/31/2020,2,15,28,0,Bronx
9/1/2020,2,23,27,0,Bronx
9/2/2020,2,21,25,0,Bronx
9/3/2020,3,21,48,0,Bronx
9/4/2020,3,18,39,0,Bronx
9/5/2020,3,14,36,0,Bronx
9/6/2020,2,15,61,0,Bronx
9/7/2020,3,17,35,0,Bronx
9/8/2020,3,27,38,0,Bronx
9/9/2020,2,27,35,0,Bronx
9/10/2020,3,24,19,0,Bronx
9/11/2020,3,24,26,0,Bronx
9/12/2020,2,9,27,1,Bronx
9/13/2020,2,11,28,1,Bronx
9/14/2020,2,13,27,0,Bronx
9/15/2020,2,19,26,0,Bronx
9/16/2020,2,29,28,0,Bronx
9/17/2020,3,25,26,0,Bronx
9/18/2020,3,8,26,0,Bronx
9/19/2020,2,12,28,0,Bronx
9/20/2020,2,14,27,0,Bronx
9/21/2020,3,23,27,0,Bronx
9/22/2020,3,20,31,0,Bronx
9/23/2020,2,29,43,0,Bronx
9/24/2020,6,43,31,0,Bronx
9/25/2020,9,43,44,1,Bronx
9/26/2020,6,25,37,1,Bronx
9/27/2020,2,18,34,0,Bronx
9/28/2020,2,16,30,0,Bronx
9/29/2020,2,20,22,0,Bronx
9/30/2020,3,14,30,0,Bronx
10/1/2020,3,20,29,0,Bronx
10/2/2020,3,20,28,0,Bronx
10/3/2020,3,20,28,0,Bronx
10/4/2020,0,19,31,0,Bronx
10/5/2020,0,22,32,3,Bronx
10/6/2020,0,41,38,0,Bronx
10/7/2020,0,23,38,0,Bronx
10/8/2020,0,13,25,0,Bronx
10/9/2020,0,23,30,3,Bronx
10/10/2020,0,21,25,0,Bronx
10/11/2020,0,11,26,0,Bronx
10/12/2020,0,11,25,0,Bronx
10/13/2020,0,11,20,0,Bronx
10/14/2020,5,40,29,1,Bronx
10/15/2020,6,40,43,1,Bronx
10/16/2020,2,27,25,0,Bronx
10/17/2020,8,36,28,1,Bronx
10/18/2020,13,34,30,1,Bronx
10/19/2020,6,30,30,3,Bronx
10/20/2020,5,35,19,0,Bronx
10/21/2020,5,23,21,0,Bronx
10/22/2020,7,34,13,0,Bronx
10/23/2020,6,27,28,0,Bronx
10/24/2020,2,17,19,0,Bronx
10/25/2020,2,16,21,0,Bronx
10/26/2020,3,24,18,1,Bronx
10/27/2020,5,24,15,0,Bronx
10/28/2020,6,22,9,1,Bronx
10/29/2020,5,20,23,0,Bronx
10/30/2020,3,22,19,0,Bronx
10/31/2020,3,23,24,1,Bronx
11/1/2020,2,18,26,0,Bronx
11/2/2020,2,17,28,0,Bronx
11/3/2020,3,21,23,1,Bronx
11/4/2020,5,34,27,14,Bronx
11/5/2020,7,49,26,1,Bronx
11/6/2020,7,44,21,1,Bronx
11/7/2020,6,37,37,3,Bronx
11/8/2020,14,74,35,4,Bronx
11/9/2020,17,73,24,4,Bronx
11/10/2020,8,37,21,1,Bronx
11/11/2020,5,28,9,0,Bronx
11/12/2020,3,22,19,1,Bronx
11/13/2020,5,23,11,0,Bronx
11/14/2020,5,25,28,1,Bronx
11/15/2020,5,29,37,3,Bronx
11/16/2020,5,31,28,1,Bronx
11/17/2020,5,32,30,1,Bronx
11/18/2020,2,14,29,1,Bronx
11/19/2020,3,35,21,4,Bronx
11/20/2020,5,42,15,1,Bronx
11/21/2020,5,35,28,3,Bronx
11/22/2020,2,16,26,0,Bronx
11/23/2020,2,23,26,0,Bronx
11/24/2020,5,28,25,1,Bronx
11/25/2020,5,38,20,3,Bronx
11/26/2020,6,34,24,1,Bronx
11/27/2020,5,28,21,3,Bronx
11/28/2020,3,25,22,3,Bronx
11/29/2020,5,36,19,3,Bronx
11/30/2020,5,35,32,.,Bronx
12/1/2020,3,25,17,0,Bronx
12/2/2020,2,19,18,1,Bronx
12/3/2020,5,32,14,3,Bronx
12/4/2020,5,31,7,3,Bronx
12/5/2020,5,33,21,0,Bronx
12/6/2020,2,14,27,0,Bronx
12/7/2020,3,30,25,1,Bronx
12/8/2020,2,17,21,1,Bronx
12/9/2020,3,31,10,3,Bronx
12/10/2020,5,34,22,1,Bronx
12/11/2020,13,45,17,6,Bronx
12/12/2020,13,40,15,1,Bronx
12/13/2020,6,28,23,0,Bronx
12/14/2020,3,24,21,1,Bronx
12/15/2020,2,18,22,1,Bronx
12/16/2020,2,24,25,0,Bronx
12/17/2020,2,22,24,3,Bronx
12/18/2020,3,30,20,3,Bronx
12/19/2020,8,47,16,3,Bronx
12/20/2020,9,42,5,3,Bronx
12/21/2020,8,38,6,3,Bronx
12/22/2020,7,31,27,1,Bronx
12/23/2020,3,31,21,1,Bronx
12/24/2020,5,38,33,1,Bronx
12/25/2020,2,9,35,0,Bronx
12/26/2020,3,12,19,1,Bronx
12/27/2020,5,35,19,3,Bronx
12/28/2020,6,40,23,1,Bronx
12/29/2020,5,17,30,1,Bronx
12/30/2020,5,40,20,3,Bronx
12/31/2020,5,29,19,1,Bronx
1/1/2020,2,0,21,0,New York
1/2/2020,13,0,12,0,New York
1/3/2020,13,0,1,0,New York
1/4/2020,8,0,24,0,New York
1/5/2020,3,0,27,0,New York
1/6/2020,3,0,15,0,New York
1/7/2020,6,0,12,0,New York
1/8/2020,3,0,28,0,New York
1/9/2020,3,0,22,0,New York
1/10/2020,5,0,11,0,New York
1/11/2020,5,0,28,0,New York
1/12/2020,3,0,28,0,New York
1/13/2020,5,0,13,0,New York
1/14/2020,6,0,4,0,New York
1/15/2020,6,0,20,0,New York
1/16/2020,5,0,26,0,New York
1/17/2020,2,0,30,0,New York
1/18/2020,5,0,23,0,New York
1/19/2020,3,0,29,0,New York
1/20/2020,2,0,30,0,New York
1/21/2020,2,0,26,0,New York
1/22/2020,9,0,12,0,New York
1/23/2020,16,0,6,0,New York
1/24/2020,13,0,19,0,New York
1/25/2020,6,0,26,0,New York
1/26/2020,7,0,17,0,New York
1/27/2020,9,0,19,0,New York
1/28/2020,2,0,29,0,New York
1/29/2020,2,0,29,0,New York
1/30/2020,5,0,22,0,New York
1/31/2020,7,0,6,0,New York
2/1/2020,6,0,8,0,New York
2/2/2020,8,0,20,0,New York
2/3/2020,9,0,21,0,New York
2/4/2020,17,0,18,0,New York
2/5/2020,11,0,22,0,New York
2/6/2020,5,0,16,0,New York
2/7/2020,5,0,29,0,New York
2/8/2020,6,0,29,0,New York
2/9/2020,7,0,25,0,New York
2/10/2020,10,0,24,0,New York
2/11/2020,10,0,25,0,New York
2/12/2020,5,0,26,0,New York
2/13/2020,6,0,23,0,New York
2/14/2020,3,0,29,0,New York
2/15/2020,5,0,19,0,New York
2/16/2020,8,0,16,0,New York
2/17/2020,7,0,31,0,New York
2/18/2020,5,0,23,0,New York
2/19/2020,5,0,31,0,New York
2/20/2020,2,0,31,0,New York
2/21/2020,7,0,31,0,New York
2/22/2020,8,0,26,0,New York
2/23/2020,10,0,31,0,New York
2/24/2020,10,0,24,0,New York
2/25/2020,9,0,22,0,New York
2/26/2020,5,0,31,0,New York
2/27/2020,3,0,33,0,New York
2/28/2020,3,0,31,0,New York
2/29/2020,3,0,31,0,New York
3/1/2020,5,0,35,0,New York
3/2/2020,7,0,31,0,New York
3/3/2020,6,0,29,0,New York
3/4/2020,5,0,35,0,New York
3/5/2020,3,0,30,0,New York
3/6/2020,5,0,27,0,New York
3/7/2020,2,0,34,0,New York
3/8/2020,8,0,31,0,New York
3/9/2020,13,0,34,0,New York
3/10/2020,5,0,28,0,New York
3/11/2020,5,0,28,0,New York
3/12/2020,6,0,19,0,New York
3/13/2020,3,0,38,0,New York
3/14/2020,2,0,32,0,New York
3/15/2020,2,0,35,0,New York
3/16/2020,2,0,31,0,New York
3/17/2020,3,0,24,0,New York
3/18/2020,2,0,31,0,New York
3/19/2020,3,0,26,0,New York
3/20/2020,6,0,34,0,New York
3/21/2020,2,0,36,0,New York
3/22/2020,2,0,36,0,New York
3/23/2020,2,0,29,0,New York
3/24/2020,2,0,34,0,New York
3/25/2020,3,0,31,0,New York
3/26/2020,3,0,31,0,New York
3/27/2020,3,0,39,0,New York
3/28/2020,3,0,38,0,New York
3/29/2020,2,0,38,0,New York
3/30/2020,5,0,26,0,New York
3/31/2020,3,0,32,0,New York
4/1/2020,2,0,38,0,New York
4/2/2020,2,0,35,0,New York
4/3/2020,2,0,28,0,New York
4/4/2020,2,0,33,0,New York
4/5/2020,5,0,24,0,New York
4/6/2020,5,0,37,0,New York
4/7/2020,3,0,43,0,New York
4/8/2020,5,0,34,0,New York
4/9/2020,3,0,40,0,New York
4/10/2020,2,0,33,0,New York
