geo_entity_id,surprise_value
101,0.041333863492959026
102,0.09957380489607381
103,0.11538015104005446
104,0.10093071857842191
105,0.11100455804289125
106,0.1475575643575947
107,0.1520341558554772
201,0.013113639145361143
202,0.028878959550356954
203,0.09321708171111531
204,0.1138642561490288
205,0.016266972463852974
206,0.01202738021270188
207,0.08525984395080587
208,0.07027205298531466
209,0.009653257028122152
210,0.025765207886010378
211,0.06485097231959602
301,0.0618474033260608
302,0.12478071689728633
303,0.0881940107358967
304,0.02371652661729651
305,0.02107632560189508
306,0.02117423523137991
307,0.017446913603694502
308,0.011730922875673875
309,0.04315527031390397
310,0.0181345701954612
401,0.028295869154826077
402,0.03004412134835724
403,0.02839307450120009
404,0.015085637418024534
405,0.03169244673247227
406,0.03883602378518145
407,0.04420825466430359
408,0.05732506661925239
409,0.052687322278989965
410,0.03681397312270132
501,0.0692461727367969
502,0.05505620574806234
503,0.025375306331212242
504,0.023130417388838833
