31,2,17,0,0,Bronx
54,6,38,0,4,Bronx
64,7,36,0,1,Bronx
52,8,28,12,1,Bronx
28,3,19,0,0,Bronx
45,3,34,0,1,Bronx
39,5,36,0,3,Bronx
36,3,28,0,1,Bronx
33,3,40,0,3,Bronx
47,6,39,16,1,Bronx
49,5,39,0,3,Bronx
35,2,16,0,0,Bronx
45,5,27,0,0,Bronx
58,5,26,0,0,Bronx
57,6,40,0,3,Bronx
40,6,25,9,0,Bronx
30,2,14,0,1,Bronx
27,3,42,0,1,Bronx
34,3,21,0,0,Bronx
29,2,18,0,1,Bronx
31,2,30,0,1,Bronx
54,11,61,21,4,Bronx
72,14,50,0,6,Bronx
77,15,61,0,7,Bronx
35,5,31,0,0,Bronx
29,3,22,0,1,Bronx
33,3,25,0,1,Bronx
22,2,18,3,1,Bronx
29,2,23,0,1,Bronx
35,5,38,0,1,Bronx
42,7,43,0,1,Bronx
70,6,40,0,1,Bronx
57,3,28,0,0,Bronx
47,8,49,15,3,Bronx
59,9,46,0,3,Bronx
25,7,23,0,1,Bronx
32,3,22,0,0,Bronx
25,3,31,0,0,Bronx
39,3,32,0,1,Bronx
50,5,42,12,1,Bronx
43,5,32,0,1,Bronx
35,6,34,0,1,Bronx
45,3,28,0,1,Bronx
40,6,45,0,1,Bronx
26,3,15,0,1,Bronx
25,3,26,8,1,Bronx
52,7,46,0,3,Bronx
49,7,31,0,3,Bronx
51,3,32,0,1,Bronx
32,3,30,0,1,Bronx
20,2,17,0,1,Bronx
22,3,29,6,1,Bronx
44,5,42,0,3,Bronx
54,6,51,0,4,Bronx
69,11,60,0,6,Bronx
54,5,44,0,3,Bronx
33,3,30,0,0,Bronx
16,2,21,5,0,Bronx
33,3,22,0,1,Bronx
26,3,16,0,0,Bronx
31,3,42,0,1,Bronx
55,5,48,0,1,Bronx
54,5,35,0,1,Bronx
29,3,21,6,0,Bronx
28,2,26,0,1,Bronx
35,3,39,0,0,Bronx
20,2,17,0,1,Bronx
26,3,23,0,1,Bronx
45,6,41,0,3,Bronx
45,5,35,0,1,Bronx
25,3,42,0,1,Bronx
43,6,56,0,1,Bronx
29,3,36,0,0,Bronx
19,2,13,0,0,Bronx
18,2,20,0,1,Bronx
23,2,21,0,0,Bronx
33,3,34,0,0,Bronx
36,2,25,0,3,Bronx
24,3,30,0,0,Bronx
52,6,37,0,1,Bronx
17,2,10,0,0,Bronx
25,2,15,0,0,Bronx
20,3,17,0,1,Bronx
15,2,23,0,1,Bronx
28,2,14,0,0,Bronx
36,3,36,0,1,Bronx
28,3,45,0,1,Bronx
23,3,16,0,0,Bronx
13,2,9,0,0,Bronx
35,3,27,0,0,Bronx
19,3,17,0,1,Bronx
23,2,16,0,1,Bronx
14,2,12,0,0,Bronx
9,2,9,0,1,Bronx
13,2,18,0,0,Bronx
50,3,35,0,1,Bronx
24,3,19,0,1,Bronx
26,2,31,0,1,Bronx
