2,17,20,0,Bronx
6,38,10,4,Bronx
7,36,2,1,Bronx
8,28,24,1,Bronx
3,19,29,0,Bronx
3,34,16,1,Bronx
5,36,17,3,Bronx
3,28,27,1,Bronx
3,40,23,3,Bronx
6,39,8,1,Bronx
5,39,26,3,Bronx
2,16,29,0,Bronx
5,27,13,0,Bronx
5,26,6,0,Bronx
6,40,21,3,Bronx
6,25,27,0,Bronx
2,14,32,1,Bronx
3,42,24,1,Bronx
3,21,30,0,Bronx
2,18,33,1,Bronx
2,30,26,1,Bronx
11,61,12,4,Bronx
14,50,7,6,Bronx
15,61,21,7,Bronx
5,31,31,0,Bronx
3,22,17,1,Bronx
3,25,20,1,Bronx
2,18,32,1,Bronx
2,23,31,1,Bronx
5,38,23,1,Bronx
7,43,11,1,Bronx
6,40,11,1,Bronx
3,28,21,0,Bronx
8,49,25,3,Bronx
9,46,19,3,Bronx
7,23,26,1,Bronx
3,22,22,0,Bronx
3,31,29,0,Bronx
3,32,30,1,Bronx
5,42,25,1,Bronx
5,32,19,1,Bronx
6,34,27,1,Bronx
3,28,30,1,Bronx
6,45,25,1,Bronx
3,15,30,1,Bronx
3,26,21,1,Bronx
7,46,18,3,Bronx
7,31,33,3,Bronx
3,32,28,1,Bronx
3,30,34,1,Bronx
2,17,31,1,Bronx
3,29,33,1,Bronx
5,42,31,3,Bronx
6,51,35,4,Bronx
11,60,29,6,Bronx
5,44,23,3,Bronx
3,30,36,0,Bronx
2,21,33,0,Bronx
3,22,31,1,Bronx
3,16,32,0,Bronx
3,42,36,1,Bronx
5,48,31,1,Bronx
5,35,26,1,Bronx
3,21,34,0,Bronx
2,26,32,1,Bronx
3,39,29,0,Bronx
2,17,37,1,Bronx
3,23,33,1,Bronx
6,41,35,3,Bronx
5,35,29,1,Bronx
3,42,30,1,Bronx
6,56,28,1,Bronx
3,36,38,0,Bronx
2,13,35,0,Bronx
2,20,37,1,Bronx
2,21,34,0,Bronx
3,34,28,0,Bronx
2,25,33,3,Bronx
3,30,33,0,Bronx
6,37,34,1,Bronx
2,10,38,0,Bronx
2,15,38,0,Bronx
3,17,33,1,Bronx
2,23,36,1,Bronx
2,14,33,0,Bronx
3,36,32,1,Bronx
3,45,43,1,Bronx
3,16,41,0,Bronx
2,9,40,0,Bronx
3,27,30,0,Bronx
3,17,36,1,Bronx
2,16,40,1,Bronx
2,12,38,0,Bronx
2,9,31,1,Bronx
2,18,35,0,Bronx
3,35,25,1,Bronx
3,19,39,1,Bronx
2,31,45,1,Bronx
3,31,35,0,Bronx
2,35,40,0,Bronx
2,11,33,0,Bronx
2,22,41,0,Bronx
5,41,44,0,Bronx
2,13,41,0,Bronx
2,21,42,0,Bronx
2,18,42,1,Bronx
2,14,38,0,Bronx
2,22,40,0,Bronx
2,20,39,0,Bronx
3,27,47,0,Bronx
2,42,37,3,Bronx
3,28,35,1,Bronx
2,14,37,0,Bronx
2,25,31,1,Bronx
2,27,31,0,Bronx
5,38,42,3,Bronx
2,14,39,0,Bronx
2,13,32,1,Bronx
2,29,40,0,Bronx
2,30,39,0,Bronx
1,25,42,0,Bronx
2,29,41,0,Bronx
2,13,37,0,Bronx
2,20,47,0,Bronx
3,29,41,0,Bronx
2,24,42,0,Bronx
2,23,33,0,Bronx
2,20,42,0,Bronx
2,19,34,0,Bronx
2,11,26,0,Bronx
2,14,43,0,Bronx
2,36,34,1,Bronx
1,11,43,0,Bronx
2,40,43,0,Bronx
3,42,47,1,Bronx
3,25,64,0,Bronx
2,27,42,0,Bronx
2,9,44,0,Bronx
1,17,44,1,Bronx
1,13,40,3,Bronx
1,15,39,1,Bronx
2,25,35,6,Bronx
5,32,36,1,Bronx
1,17,34,0,Bronx
2,11,36,0,Bronx
2,27,29,0,Bronx
3,29,27,0,Bronx
2,19,29,0,Bronx
2,19,19,0,Bronx
2,19,22,0,Bronx
2,21,40,0,Bronx
1,5,31,0,Bronx
2,30,37,0,Bronx
3,32,46,0,Bronx
3,23,44,0,Bronx
3,39,77,0,Bronx
3,25,34,0,Bronx
3,26,51,0,Bronx
2,10,35,0,Bronx
2,32,32,0,Bronx
2,25,108,1,Bronx
2,16,50,0,Bronx
3,29,27,0,Bronx
3,16,48,0,Bronx
2,5,37,0,Bronx
1,11,37,0,Bronx
3,17,38,3,Bronx
2,19,37,3,Bronx
1,16,31,0,Bronx
2,15,20,0,Bronx
2,24,38,0,Bronx
3,27,47,0,Bronx
3,23,43,0,Bronx
2,24,80,0,Bronx
2,29,51,0,Bronx
2,18,44,0,Bronx
2,19,80,0,Bronx
2,27,54,1,Bronx
3,30,44,1,Bronx
5,22,67,1,Bronx
3,15,35,0,Bronx
2,16,35,0,Bronx
3,25,45,0,Bronx
2,31,38,0,Bronx
3,13,43,0,Bronx
2,10,39,1,Bronx
3,36,47,0,Bronx
6,38,71,1,Bronx
